transaction_id,satisfaction_level
1,Neutral
2,Dissatisfied
3,Very Dissatisfied
4,Neutral
5,Satisfied
6,Satisfied
7,Neutral
8,Dissatisfied
9,Dissatisfied
10,Dissatisfied
11,Very Dissatisfied
12,Dissatisfied
13,Very Satisfied
14,Satisfied
15,Very Satisfied
16,Very Satisfied
17,Neutral
18,Very Dissatisfied
19,Dissatisfied
20,Satisfied
21,Neutral
22,Neutral
23,Neutral
24,Dissatisfied
25,Very Dissatisfied
26,Very Satisfied
27,Very Dissatisfied
28,Satisfied
29,Very Satisfied
30,Satisfied
31,Dissatisfied
32,Dissatisfied
33,Dissatisfied
34,Neutral
35,Dissatisfied
36,Very Satisfied
37,Dissatisfied
38,Dissatisfied
39,Very Dissatisfied
40,Very Satisfied
41,Very Dissatisfied
42,Dissatisfied
43,Satisfied
44,Very Satisfied
45,Very Dissatisfied
46,Satisfied
47,Neutral
48,Dissatisfied
49,Dissatisfied
50,Very Dissatisfied
51,Satisfied
52,Very Satisfied
53,Dissatisfied
54,Dissatisfied
55,Very Dissatisfied
56,Very Dissatisfied
57,Satisfied
58,Very Satisfied
59,Dissatisfied
60,Satisfied
61,Satisfied
62,Very Satisfied
63,Dissatisfied
64,Very Satisfied
65,Very Dissatisfied
66,Dissatisfied
67,Neutral
68,Very Dissatisfied
69,Satisfied
70,Satisfied
71,Dissatisfied
72,Satisfied
73,Satisfied
74,Very Dissatisfied
75,Very Satisfied
76,Very Dissatisfied
77,Very Dissatisfied
78,Satisfied
79,Very Satisfied
80,Neutral
81,Very Satisfied
82,Very Dissatisfied
83,Dissatisfied
84,Satisfied
85,Satisfied
86,Very Dissatisfied
87,Neutral
88,Very Satisfied
89,Neutral
90,Neutral
91,Very Satisfied
92,Very Dissatisfied
93,Neutral
94,Neutral
95,Dissatisfied
96,Very Dissatisfied
97,Very Satisfied
98,Neutral
99,Very Satisfied
100,Satisfied
101,Very Dissatisfied
102,Dissatisfied
103,Dissatisfied
104,Satisfied
105,Satisfied
106,Very Dissatisfied
107,Very Satisfied
108,Very Satisfied
109,Dissatisfied
110,Dissatisfied
111,Very Satisfied
112,Very Satisfied
113,Neutral
114,Very Dissatisfied
115,Satisfied
116,Dissatisfied
117,Very Satisfied
118,Very Dissatisfied
119,Satisfied
120,Very Dissatisfied
121,Very Dissatisfied
122,Very Dissatisfied
123,Dissatisfied
124,Neutral
125,Neutral
126,Very Dissatisfied
127,Satisfied
128,Satisfied
129,Dissatisfied
130,Neutral
131,Neutral
132,Dissatisfied
133,Very Satisfied
134,Very Satisfied
135,Dissatisfied
136,Dissatisfied
137,Dissatisfied
138,Very Satisfied
139,Neutral
140,Satisfied
141,Neutral
142,Dissatisfied
143,Very Satisfied
144,Very Satisfied
145,Very Satisfied
146,Very Dissatisfied
147,Satisfied
148,Satisfied
149,Dissatisfied
150,Dissatisfied
151,Very Dissatisfied
152,Dissatisfied
153,Neutral
154,Satisfied
155,Very Dissatisfied
156,Very Dissatisfied
157,Neutral
158,Very Dissatisfied
159,Very Dissatisfied
160,Neutral
161,Satisfied
162,Very Satisfied
163,Satisfied
164,Very Dissatisfied
165,Very Satisfied
166,Neutral
167,Very Satisfied
168,Very Dissatisfied
169,Neutral
170,Very Dissatisfied
171,Neutral
172,Dissatisfied
173,Satisfied
174,Neutral
175,Very Dissatisfied
176,Satisfied
177,Satisfied
178,Satisfied
179,Very Dissatisfied
180,Very Satisfied
181,Neutral
182,Dissatisfied
183,Neutral
184,Neutral
185,Satisfied
186,Neutral
187,Satisfied
188,Neutral
189,Neutral
190,Very Satisfied
191,Dissatisfied
192,Very Dissatisfied
193,Very Satisfied
194,Very Satisfied
195,Very Satisfied
196,Neutral
197,Very Dissatisfied
198,Satisfied
199,Satisfied
200,Satisfied
201,Neutral
202,Very Satisfied
203,Very Satisfied
204,Very Satisfied
205,Dissatisfied
206,Neutral
207,Dissatisfied
208,Very Dissatisfied
209,Dissatisfied
210,Very Satisfied
211,Dissatisfied
212,Neutral
213,Neutral
214,Satisfied
215,Very Dissatisfied
216,Neutral
217,Neutral
218,Neutral
219,Very Dissatisfied
220,Dissatisfied
221,Very Dissatisfied
222,Neutral
223,Neutral
224,Neutral
225,Neutral
226,Neutral
227,Dissatisfied
228,Satisfied
229,Neutral
230,Very Dissatisfied
231,Satisfied
232,Neutral
233,Dissatisfied
234,Very Dissatisfied
235,Very Satisfied
236,Very Satisfied
237,Satisfied
238,Very Dissatisfied
239,Very Satisfied
240,Satisfied
241,Satisfied
242,Very Dissatisfied
243,Very Satisfied
244,Neutral
245,Very Satisfied
246,Very Satisfied
247,Very Dissatisfied
248,Satisfied
249,Very Dissatisfied
250,Very Dissatisfied
251,Very Satisfied
252,Neutral
253,Dissatisfied
254,Very Dissatisfied
255,Very Satisfied
256,Very Satisfied
257,Very Satisfied
258,Very Dissatisfied
259,Dissatisfied
260,Very Dissatisfied
261,Satisfied
262,Very Dissatisfied
263,Satisfied
264,Very Satisfied
265,Very Dissatisfied
266,Very Satisfied
267,Very Satisfied
268,Dissatisfied
269,Very Satisfied
270,Satisfied
271,Satisfied
272,Very Satisfied
273,Very Dissatisfied
274,Very Satisfied
275,Neutral
276,Dissatisfied
277,Dissatisfied
278,Dissatisfied
279,Dissatisfied
280,Neutral
281,Very Satisfied
282,Dissatisfied
283,Dissatisfied
284,Satisfied
285,Very Satisfied
286,Dissatisfied
287,Neutral
288,Dissatisfied
289,Very Dissatisfied
290,Neutral
291,Satisfied
292,Neutral
293,Satisfied
294,Neutral
295,Neutral
296,Dissatisfied
297,Very Satisfied
298,Very Satisfied
299,Neutral
300,Neutral
301,Very Dissatisfied
302,Dissatisfied
303,Dissatisfied
304,Dissatisfied
305,Satisfied
306,Very Dissatisfied
307,Very Satisfied
308,Very Satisfied
309,Neutral
310,Neutral
311,Dissatisfied
312,Dissatisfied
313,Dissatisfied
314,Satisfied
315,Satisfied
316,Very Dissatisfied
317,Very Dissatisfied
318,Very Satisfied
319,Dissatisfied
320,Neutral
321,Very Dissatisfied
322,Very Dissatisfied
323,Neutral
324,Satisfied
325,Very Satisfied
326,Neutral
327,Very Dissatisfied
328,Very Dissatisfied
329,Dissatisfied
330,Satisfied
331,Satisfied
332,Dissatisfied
333,Very Dissatisfied
334,Very Satisfied
335,Very Satisfied
336,Satisfied
337,Very Dissatisfied
338,Satisfied
339,Dissatisfied
340,Satisfied
341,Very Satisfied
342,Very Satisfied
343,Very Dissatisfied
344,Very Dissatisfied
345,Dissatisfied
