Geograophy_SK,country,city,postal code
1,Malaysia,Pulau Pinang,10740
2,Iran,KaléÅt-e NéÅderéÆ,
3,Malaysia,Ipoh,30200
4,Philippines,Estaca,1123
5,Ukraine,Kobyzhcha,
6,Portugal,Figueir?? dos Vinhos,3260-400
7,Ghana,Wenchi,
8,Ukraine,TsyurupynsÉ??k,
9,Russia,Yermolino,249026
10,Myanmar,Kyaukse,
11,Philippines,Patpata Segundo,3604
12,Indonesia,Puncaktugu,
13,Colombia,Caldono,192057
14,Philippines,Curuan,6511
15,France,Le Pontet,84964 CEDEX
16,Samoa,Solosolo,
17,China,Haozhai,
18,Philippines,Novallas,7213
19,Uruguay,Paso de Carrasco,
20,China,Cheqiao,
21,Russia,Rudnogorsk,665689
22,Brazil,Mari,58345-000
23,Somalia,Buur Gaabo,
24,China,Gaotai,
25,Brazil,Barretos,14780-000
26,China,Kuandian,
27,Indonesia,Kotauneng,
28,Indonesia,Dusun Desa Bunter,
29,China,Xiaojin,
30,China,Heshan,
31,China,Xianxi,
32,United States,Houston,77288
33,Philippines,Masinloc,2211
34,Ivory Coast,S??gu??la,
35,China,Shiziqiao,
36,Sri Lanka,Maharagama,10280
37,Poland,Nieszawa,87-730
38,Russia,Luknovo,603899
39,Kyrgyzstan,Balykchy,
40,France,Le Kremlin-Bic?¶tre,94279 CEDEX
41,Czech Republic,Habartov,357 09
42,Cuba,Alqu??zar,
43,Russia,Zhirnovsk,403793
44,China,Guyang,
45,Sweden,G??teborg,404 32
46,Philippines,Barili,6036
47,Indonesia,Utan,
48,Peru,Andaray,
49,South Africa,Potchefstroom,2538
50,China,Puyan,
51,Indonesia,Parumaan,
52,Vietnam,H?˝a B?™nh,
53,Palestinian Territory,Bayt Dajan,
54,China,Beiwa,
55,Democratic Republic of the Congo,Mangai,
56,Indonesia,Meliau,
57,Honduras,El Agua Dulcita,
58,Iran,ShéÆrvéÅn,
59,United States,Round Rock,78682
60,Russia,Bibirevo,301262
61,Indonesia,Pasirdalem,
62,Sweden,Stockholm,162 87
63,Honduras,La Estancia,
64,China,Lingbei,
65,China,Bazhu,
66,Russia,Shuvakish,620908
67,Azerbaijan,Khyzy,
68,Sweden,Karlskrona,371 23
69,Portugal,Boucinha,4890-011
70,Peru,Nicasio,
71,Georgia,Akhaltsikhe,
72,Bangladesh,Saidpur,5311
73,China,Yanglin,
74,China,Dayuanhuizu,
75,Serbia,èˇid,
76,Poland,èÅé?kawica,34-321
77,Japan,Shiogama,987-0058
78,Greece,Gerakaro?ß,
79,Portugal,Corga,4960-330
80,Philippines,Taganak,4100
81,Philippines,Mananum,6118
82,Philippines,Guinoaliuan,2301
83,China,Shache,
84,China,Sheli,
85,Poland,Lé?bork,84-310
86,Sweden,Skan??r,239 30
87,Poland,Lublin,20-960
88,Indonesia,Raejeru,
89,Portugal,Rio de Moinhos,2200-785
90,Portugal,Catujal,2680-333
91,China,Dongsheng,
92,Poland,Radzyè? Cheè?miè?ski,87-220
93,Czech Republic,Zabruè≠any,417 71
94,Philippines,Buenlag,2302
95,United States,Toledo,43605
96,Poland,Pantalowice,37-224
97,Faroe Islands,Mi?¯v?≠gur,385
98,Brazil,Abadi?õnia,72940-000
99,El Salvador,Antiguo Cuscatl?≠n,
100,United States,Sacramento,94237
101,China,Sandaotong,
102,Israel,West Jerusalem,
103,France,Saint-Germain-en-Laye,78105 CEDEX
104,Malta,Gudja,GDJ
105,Russia,Romanovo,658640
106,Indonesia,Cempaka,
107,Japan,Sasaguri,811-2405
108,Bolivia,Yacuiba,
109,Sweden,Valdemarsvik,615 95
110,Indonesia,Barat,
111,France,Orl??ans,45032 CEDEX 1
112,Indonesia,Madette,
113,Argentina,Ezeiza,1804
114,China,Yunfeng,
115,Russia,Bira,679130
116,Ethiopia,é?déÆs Zemen,
117,Indonesia,Kebonkai,
118,Czech Republic,Brné?nec,569 04
119,Venezuela,Seboruco,
120,Uruguay,Bella Uni??n,
121,Cameroon,Bonab??ri,
122,Guatemala,San Pedro Sacatep??quez,01059
123,Portugal,Aranhas,6090-215
124,France,Sabl??-sur-Sarthe,72304 CEDEX
125,Bosnia and Herzegovina,Kladanj,
126,Philippines,Cabcaben,2133
127,Russia,Galitsy,606085
128,Croatia,Punat,51521
129,China,Mafang,
130,Vietnam,Ch†Øú M†Ø?i,
131,North Korea,Ongjin,
132,Brazil,Cachoeira do Sul,96500-000
133,Honduras,Yarumela,
134,France,Pau,64080 CEDEX
135,China,Haoxinying,
136,China,Changzheng,
137,China,Yangtan,
138,Syria,BarréÆ ash SharqéÆ,
139,Russia,Voloshka,164051
140,Portugal,Vilela,4580-634
141,China,Wushi,
142,Mexico,Loma Alta,87605
143,China,Wangzha,
144,Brazil,Bar?úo de Cocais,35970-000
145,France,Montauban,82004 CEDEX
146,China,Qijiaxi,
147,Dominican Republic,Nizao,11511
148,Afghanistan,RustéÅq,
149,China,Lefengzhen,
150,Russia,Tomarovka,309090
151,China,Jinxiang,
152,Portugal,Safara,7875-055
153,China,Xagmakajor,
154,China,Dafang,
155,Czech Republic,Dè?iteè?,384 11
156,United States,Atlanta,31136
157,China,Kuidou,
158,Mongolia,Talshand,
159,France,Annecy,74982 CEDEX 9
160,Serbia,Beéçmen,
161,China,Baijiang,
162,Portugal,Duas Igrejas,3700-819
163,China,Wuxi,
164,China,Guandu,
165,Indonesia,Mislak,
166,China,Bianzhuang,
167,Indonesia,Waihibar,
168,Sierra Leone,Potoru,
169,China,YongÉ??an,
170,Greece,Liv?≠dion,
171,Philippines,Bulo,2510
172,Mexico,Morelos,62577
173,Indonesia,Telaga,
174,France,Lyon,69212 CEDEX 03
175,Sweden,Lule?ù,971 29
176,Chile,Paine,
177,China,Quanzhou,
178,Costa Rica,San Juan,11301
179,China,Gaojiazhuang,
180,Poland,èØychlin,99-320
181,Serbia,Platiéçevo,
182,Indonesia,Krajan Pocangan,
183,Armenia,Dalar,
184,Vietnam,B†ßÒng Lè?ng,
185,Iran,DéÅréÅb,
186,China,Jiukou,
187,Indonesia,Tugu,
188,China,Hengliang,
189,Pakistan,RéÅjo KhanéÅni,72111
190,Indonesia,Sirnasari,
191,Peru,El Tambo,
192,South Africa,Barberton,1309
193,Indonesia,Ngadipuro,
194,Peru,Pallanchacra,
195,Indonesia,Pandaan,
196,Indonesia,Wonosobo,
197,Philippines,Do?Òa Remedios Trinidad,3009
198,Micronesia,Tonoas Municipal Building,
199,Sri Lanka,Trincomalee,31000
200,China,Qixia,
201,Iran,Zehak,
202,Czech Republic,Dolany,783 16
203,Russia,Shikhany,412950
204,France,Morangis,91424 CEDEX
205,France,Avon,77214 CEDEX
206,Indonesia,Nagarakembang,
207,China,Sanyi,
208,Indonesia,Sumbersari Wetan,
209,Brazil,Piripiri,64260-000
210,Russia,NovoulÉ??yanovsk,433300
211,Russia,Kashira,142933
212,Indonesia,Ceper,
213,China,Xiacang,
214,China,Jingyang,
215,France,Tours,37044 CEDEX 9
216,Afghanistan,Khanabad,
217,Armenia,Abovyan,
218,Marshall Islands,Ujae,96970
