shipping_Carriers_SK,shipping Carriers Id ,shipping Carriers Name,Hotline,Website,Email
1,1,Maersk,1-800-321-8807,https://www.maersk.com/,
2,2,Mediterranean Shipping Company (MSC),1-212-764-4800,https://www.msc.com/,
3,3,CMA CGM Group,1-877-556-6308,https://www.cma-cgm.com/,
4,4,COSCO Shipping Lines,1-281-765-6800,https://lines.coscoshipping.com/,cs.hq@coscon.com 
5,5,Hapag-Lloyd,1-877-818-1019,https://www.hapag-lloyd.com/,
6,6,Ocean Network Express (ONE),1-844-413-6029,https://one-line.com/,
7,7,Evergreen Marine Corporation,886-2-2505-7288 ,https://www.evergreen-line.com/,
8,8,HMM Co. Ltd. (HMM),82-2-3706-5114 ,https://www.hmm21.com/,
9,9,ZIM Integrated Shipping Services,1-718-313-1945 ,https://www.zim.com/,
10,10,Yang Ming Marine Transport Corporation,886-2-2451-1188 ,https://www.yangming.com/,
11,11,Wan Hai Lines,1-866-492-6424,https://www.wanhai.com/,
12,12,Pacific International Lines (PIL),65-6221-8133,https://www.pilship.com/,info@pilship.com
13,13,DHL Express,1-800-225-5345,https://www.dhl.com/,
14,14,FedEx,1-800-463-3339,https://www.fedex.com/,
15,15,UPS,1-800-742-5877,https://www.ups.com/,
