date_SK,date_ID,full_date,day,Month,month_name,Year,Quarter,Season,Is_Weekend,Season
20240101,1,1/1/2024,1,1,January,2024,1,Winter,No,Winter
20240102,2,1/2/2024,2,1,January,2024,1,Winter,No,Winter
20240103,3,1/3/2024,3,1,January,2024,1,Winter,No,Winter
20240104,4,1/4/2024,4,1,January,2024,1,Winter,No,Winter
20240105,5,1/5/2024,5,1,January,2024,1,Winter,No,Winter
20240106,6,1/6/2024,6,1,January,2024,1,Winter,Yes,Winter
20240107,7,1/7/2024,7,1,January,2024,1,Winter,Yes,Winter
20240108,8,1/8/2024,8,1,January,2024,1,Winter,No,Winter
20240109,9,1/9/2024,9,1,January,2024,1,Winter,No,Winter
20240110,10,1/10/2024,10,1,January,2024,1,Winter,No,Winter
20240111,11,1/11/2024,11,1,January,2024,1,Winter,No,Winter
20240112,12,1/12/2024,12,1,January,2024,1,Winter,No,Winter
20240113,13,1/13/2024,13,1,January,2024,1,Winter,Yes,Winter
20240114,14,1/14/2024,14,1,January,2024,1,Winter,Yes,Winter
20240115,15,1/15/2024,15,1,January,2024,1,Winter,No,Winter
20240116,16,1/16/2024,16,1,January,2024,1,Winter,No,Winter
20240117,17,1/17/2024,17,1,January,2024,1,Winter,No,Winter
20240118,18,1/18/2024,18,1,January,2024,1,Winter,No,Winter
20240119,19,1/19/2024,19,1,January,2024,1,Winter,No,Winter
20240120,20,1/20/2024,20,1,January,2024,1,Winter,Yes,Winter
20240121,21,1/21/2024,21,1,January,2024,1,Winter,Yes,Winter
20240122,22,1/22/2024,22,1,January,2024,1,Winter,No,Winter
20240123,23,1/23/2024,23,1,January,2024,1,Winter,No,Winter
20240124,24,1/24/2024,24,1,January,2024,1,Winter,No,Winter
20240125,25,1/25/2024,25,1,January,2024,1,Winter,No,Winter
20240126,26,1/26/2024,26,1,January,2024,1,Winter,No,Winter
20240127,27,1/27/2024,27,1,January,2024,1,Winter,Yes,Winter
20240128,28,1/28/2024,28,1,January,2024,1,Winter,Yes,Winter
20240129,29,1/29/2024,29,1,January,2024,1,Winter,No,Winter
20240130,30,1/30/2024,30,1,January,2024,1,Winter,No,Winter
20240131,31,1/31/2024,31,1,January,2024,1,Winter,No,Winter
20240201,32,2/1/2024,1,2,February,2024,1,Winter,No,Winter
20240202,33,2/2/2024,2,2,February,2024,1,Winter,No,Winter
20240203,34,2/3/2024,3,2,February,2024,1,Winter,Yes,Winter
20240204,35,2/4/2024,4,2,February,2024,1,Winter,Yes,Winter
20240205,36,2/5/2024,5,2,February,2024,1,Winter,No,Winter
20240206,37,2/6/2024,6,2,February,2024,1,Winter,No,Winter
20240207,38,2/7/2024,7,2,February,2024,1,Winter,No,Winter
20240208,39,2/8/2024,8,2,February,2024,1,Winter,No,Winter
20240209,40,2/9/2024,9,2,February,2024,1,Winter,No,Winter
20240210,41,2/10/2024,10,2,February,2024,1,Winter,Yes,Winter
20240211,42,2/11/2024,11,2,February,2024,1,Winter,Yes,Winter
20240212,43,2/12/2024,12,2,February,2024,1,Winter,No,Winter
