Order ID,Order Date,Ship Date,Customer Id,Product id,Actual price,Discounted price,Sold price,Quantity,Bill Amount,
CA-2013-138688,2013-06-13,2013-06-17,70C6A2D2a742DDD,B07JW9H4J1,"1,099",399,700,2.00,1400.00,
CA-2011-115812,2011-06-09,2011-06-14,B4140eB48EAe3FA,B098NS6PVG,349,199,150,7.00,1050.00,
CA-2011-115812,2011-06-09,2011-06-14,62Dc5d901e6C9EE,B096MSW6CT,"1,899",199,1700,4.00,6800.00,
CA-2011-115812,2011-06-09,2011-06-14,3a499E9cA2dA1CC,B08HDJ86NZ,699,329,370,4.00,1480.00,
CA-2011-115812,2011-06-09,2011-06-14,dFAc465E9Ccc3a6,B08CF3B7N1,399,154,245,3.00,735.00,
CA-2011-115812,2011-06-09,2011-06-14,Dbf8dbcEAc5d107,B08Y1TFSP6,"1,000",149,851,5.00,4255.00,
CA-2011-115812,2011-06-09,2011-06-14,f7D3bA2f3a3C21A,B08WRWPM22,499,176.63,322.37,9.00,2901.33,
CA-2011-115812,2011-06-09,2011-06-14,fF4C242e5732BdF,B08DDRGWTJ,299,229,70,4.00,280.00,
CA-2013-161389,2013-12-06,2013-12-11,5aeD3Aa4cf1ee8D,B008IFXQFU,999,499,500,3.00,1500.00,
CA-2011-167164,2011-05-13,2011-05-15,dd509eaBA3F8089,B082LZGK39,299,199,100,2.00,200.00,
CA-2011-143336,2011-08-27,2011-09-01,4B9B8D49fAf7cae,B08CF3D7QR,339,154,185,2.00,370.00,
CA-2011-143336,2011-08-27,2011-09-01,0aBBEBe4dC9a7DD,B0789LZTCJ,799,299,500,3.00,1500.00,
CA-2011-143336,2011-08-27,2011-09-01,A9ef18Ec3Eb8c80,B07KSMBL2H,700,219,481,4.00,1924.00,
CA-2012-106320,2012-09-25,2012-09-30,98fFA372Bd132EE,B085DTN6R2,899,350,549,3.00,1647.00,
CA-2013-121755,2013-01-16,2013-01-20,A74e90b1839b58B,B09KLVMZ3B,399,159,240,2.00,480.00,
CA-2013-121755,2013-01-16,2013-01-20,5e883ac5731A48f,B083342NKJ,399,349,50,3.00,150.00,
CA-2013-101343,2013-07-18,2013-07-23,1bD34DFB3Ebb9db,B0B6F7LX4C,"24,999","13,999",11000,2.00,22000.00,
CA-2012-135545,2012-11-24,2012-11-30,B6bF2E1D05CADE7,B082LSVT4B,399,249,150,2.00,300.00,
CA-2012-135545,2012-11-24,2012-11-30,2dc0146c8da25fd,B08WRBG3XW,499,199,300,6.00,1800.00,
CA-2012-135545,2012-11-24,2012-11-30,d3cCC3C94bfA15d,B08DPLCM6T,"21,990","13,490",8500,3.00,25500.00,
CA-2012-135545,2012-11-24,2012-11-30,c6027C9baa2664A,B09C6HXFC1,"1,799",970,829,4.00,3316.00,
CA-2011-106376,2011-12-05,2011-12-10,38baedECE07dA6A,B085194JFL,499,279,220,8.00,1760.00,
CA-2011-106376,2011-12-05,2011-12-10,c7a44B5D4c44A33,B09F6S8BT6,"22,900","13,490",9410,4.00,37640.00,
CA-2011-139451,2011-10-12,2011-10-16,df0dC07031AfBBe,B09NHVCHS9,199,59,140,5.00,700.00,
CA-2011-139451,2011-10-12,2011-10-16,aa7d5a114a7cfde,B0B1YVCJ2Y,"19,990","11,499",8491,1.00,8491.00,
CA-2013-109806,2013-09-18,2013-09-23,e6cAD6A9B817fFA,B01M4GGIVU,699,199,500,3.00,1500.00,
CA-2013-109806,2013-09-18,2013-09-23,8DFF51276FBbfE6,B08B42LWKN,"19,999","14,999",5000,2.00,10000.00,
CA-2013-109806,2013-09-18,2013-09-23,bCCD73E1AE34DDD,B094JNXNPV,399,299,100,1.00,100.00,
US-2014-109484,2014-11-07,2014-11-13,16e8f82E1BdD8bd,B09W5XR9RT,"1,999",970,1029,1.00,1029.00,
CA-2014-157833,2014-06-18,2014-06-21,B14E7ED4dC4CBBf,B077Z65HSD,999,299,700,3.00,2100.00,
US-2012-156867,2012-11-13,2012-11-17,Aaf2D8fF5edeD6F,B00NH11PEY,750,199,551,6.00,3306.00,
US-2012-156867,2012-11-13,2012-11-17,dEbC9Df2BD9675b,B09CMM3VGK,499,179,320,3.00,960.00,
US-2012-156867,2012-11-13,2012-11-17,DAe07FEAfCeab89,B08QSC1XY8,"1,099",389,710,3.00,2130.00,
CA-2012-110457,2012-03-02,2012-03-06,fF9831315E6f223,B008FWZGSG,599,599,0,3.00,0.00,
US-2014-107272,2014-11-06,2014-11-13,E5Bc9CFdD7E8cCe,B0B4HJNPV4,999,199,800,2.00,1600.00,
US-2014-107272,2014-11-06,2014-11-13,adda0c4d56eEd0F,B08Y1SJVV5,666.66,99,567.66,7.00,3973.62,
US-2013-125969,2013-11-07,2013-11-11,DEbD6eAd8F2bba4,B07XLCFSSN,"1,900",899,1001,2.00,2002.00,
US-2013-125969,2013-11-07,2013-11-11,4D26D6AD5D4DD5a,B09RZS1NQT,999,199,800,3.00,2400.00,
CA-2013-145583,2013-10-14,2013-10-20,F4DE3fFc9dadB0D,B0B3MMYHYW,"45,999","32,999",13000,3.00,39000.00,
CA-2013-145583,2013-10-14,2013-10-20,E65bAC9F22075AC,B09C6HWG18,"1,999",970,1029,1.00,1029.00,
CA-2013-145583,2013-10-14,2013-10-20,d3D39beeB3Bc61D,B00NH11KIK,695,209,486,4.00,1944.00,
CA-2013-145583,2013-10-14,2013-10-20,Ca3F36CBccea0B5,B09JPC82QC,"34,999","19,999",15000,2.00,30000.00,
CA-2013-145583,2013-10-14,2013-10-20,458261304518CEd,B07JW1Y6XV,"1,099",399,700,3.00,2100.00,
